"id","prediction"
72629919,31335.9039166327
72629930,34709.1844020848
72629937,34148.3319840675
72629938,26447.5566035273
72629944,28396.9530313628
72629946,25679.3377171925
72629948,19687.1824911165
72629949,26384.1341521347
72629954,19687.1824911165
72629956,33521.9219339005
72629957,38637.3787225116
72629959,31414.2667373562
72629960,19148.3890715835
72629964,33085.2080881456
72629975,13390.2059929376
72629978,28214.6343787576
72629982,30618.7185983227
72629993,33015.7904577244
72630000,28530.6796096954
72630007,34595.0135078904
72630009,23362.818226359
72630010,30136.4136770278
72630011,26330.4579574866
72630049,49341.553562543
72630052,26243.3576395594
72630055,42412.9694397097
72630057,40249.8796044992
72630060,24163.5707914007
72630061,25427.4433649888
72630063,33470.7379361125
72630066,26263.0651482227
72630071,33090.0714315919
72630078,39978.8533469874
72630085,49311.4666897958
72630087,62873.1524223262
72630098,20774.9154212387
72630099,47951.9081431221
72630109,38743.8080195706
72630116,21976.3492342664
72630123,72932.6899175359
72630124,20405.6882933575
72630131,39426.0558647493
72630133,41180.133572624
72630135,17372.3512167239
72630142,35817.5722026847
72630149,37297.8827294973
72630161,6543.52647426183
72630353,14733.5232531519
72630356,31378.157530811
72630360,30812.1847356094
72630363,28090.7062530296
72630365,29670.4386687934
72630370,27562.4549374958
72630374,27860.0726550537
72630379,24186.5711126016
72630385,26910.6955968109
72630387,9319.45169905839
72630391,31033.1334060497
72630392,31033.1334060497
72630401,28763.2082802233
72630404,32659.1393963896
72630406,28268.9258769043
72630412,30181.4508814075
72630416,34078.5980004274
72630426,7898.0128793458
72630427,13490.1945631702
72630444,28715.0089976533
72630456,51208.8826511934
72630472,31658.4412562126
72630475,23222.7394027805
72630477,33360.9134804807
72630479,30361.5968518979
72630480,33106.3695893281
72630489,27365.0155717986
72630490,30424.4415193976
72630491,13559.5043909623
72630493,27147.2691048197
72630517,31266.9716667545
72630520,45459.3590183466
72630522,28315.6648654714
72630523,37442.2127825432
72630530,19836.9442774354
72630534,29895.7927267699
72630536,18754.0875329435
72630539,34186.2473310641
72630559,31387.8936564538
72630564,39087.7466913109
72630566,36978.8566176606
72630570,36390.9777675694
72630580,18488.8083639211
72630587,27428.7755542136
72630589,28646.8845399485
72630595,38151.1620330995
72630600,41293.7253852385
72630602,39168.7623198709
72630610,23388.0755073327
72630612,19139.6408662335
72630622,30431.30738667
72630627,34631.4105072062
72630629,16536.7819945009
72630649,24421.7589735772
72630651,31509.0256624448
72630653,32976.9991690177
72630654,9918.08567846525
72630660,13524.713398114
72630663,37820.0554676703
72630665,41645.6456172924
72630679,31193.0990429977
72630680,31311.1413356309
72630681,54212.4179411773
72630685,4650.41779121674
72630691,32435.7121524414
72630698,33053.7386428463
72630700,25374.2884589982
72630702,27990.0857255989
72630704,32324.9059103112
72630708,26963.757169895
72630711,35188.2569353456
72630713,26591.5733060535
72630722,11434.2924727492
72630723,31687.7751600699
72630724,20325.9617855651
72630725,24415.6075150602
72630726,39753.290603832
72630727,15010.1467030337
72630728,29058.1862968506
72630733,22058.8048096014
72630753,30473.0472709102
72630754,12747.4411572979
72630761,38046.4828481815
72630764,29038.9539461755
72630772,25180.845779529
72630782,30978.4894096385
72630784,35244.0268467443
72630786,38747.9617838677
72630787,25125.9242462118
72630800,15072.9947142442
72630808,37820.0554676703
72630818,48739.5248155018
72630821,23873.1875865934
72630823,43487.8592339896
72630824,33511.7287730427
72630830,38151.1620330995
72630846,33557.8211615111
72630851,33557.8211615111
72630854,32483.5331493184
72630857,45055.6812261454
72630860,26337.2085438023
72630878,28198.6261188473
72630891,30928.7738536565
72630897,27498.9799351815
72630901,32140.1994426959
72630904,42697.8995927572
72630929,25500.3092249328
72630931,37199.0318775863
72630933,34960.5334628744
72630940,24221.4992156538
72630947,27507.0328538847
72630949,31271.1081894853
